Name,Enabled,DNSHostName,DistinguishedName,System,LastLogonDate,Laps,LapsExpirationDays,LapsExpirationTime
LPT-HQ-5635,TRUE,LPT-HQ-5635.sra.org.sz,"CN=LPT-HQ-5635,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 1903,2022/11/04 07:48,TRUE,2,2022/11/06 10:34
LPT-HQ-5632,TRUE,LPT-HQ-5632.sra.org.sz,"CN=LPT-HQ-5632,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:02,TRUE,12,2022/11/16 14:43
LPT-HQ-5634,TRUE,LPT-HQ-5634.sra.org.sz,"CN=LPT-HQ-5634,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Unknown,2022/10/27 13:29,TRUE,28,2022/12/03 08:06
LPT-HQ-5652,TRUE,LPT-HQ-5652.sra.org.sz,"CN=LPT-HQ-5652,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 10:35,FALSE,,
LPT-HQ-5636,TRUE,LPT-HQ-5636.sra.org.sz,"CN=LPT-HQ-5636,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:09,TRUE,7,2022/11/11 08:44
LPT-HQ-5637,TRUE,LPT-HQ-5637.sra.org.sz,"CN=LPT-HQ-5637,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/24 08:04,TRUE,11,2022/11/16 05:14
LPT-HQ-5649,TRUE,LPT-HQ-5649.sra.org.sz,"CN=LPT-HQ-5649,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/09/07 07:42,FALSE,,
LPT-HQ-5653,TRUE,LPT-HQ-5653.sra.org.sz,"CN=LPT-HQ-5653,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 1903,2022/11/03 17:03,TRUE,11,2022/11/16 07:31
LPT-HQ-5631,TRUE,LPT-HQ-5631.sra.org.sz,"CN=LPT-HQ-5631,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:27,FALSE,,
LPT-HQ-5656,TRUE,LPT-HQ-5656.sra.org.sz,"CN=LPT-HQ-5656,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 10:11,TRUE,28,2022/12/02 09:12
LPT-HQ-5638,TRUE,LPT-HQ-5638.sra.org.sz,"CN=LPT-HQ-5638,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 10:56,TRUE,29,2022/12/03 08:42
LPT-HQ-5633,TRUE,LPT-HQ-5633.sra.org.sz,"CN=LPT-HQ-5633,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 08:19,FALSE,,
LPT-HQ-5624,TRUE,LPT-HQ-5624.sra.org.sz,"CN=LPT-HQ-5624,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 11,2022/10/31 15:04,TRUE,26,2022/11/30 15:07
LPT-HQ-5626,TRUE,LPT-HQ-5626.sra.org.sz,"CN=LPT-HQ-5626,OU=ICT,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 10:19,TRUE,9,2022/11/13 10:01
LPT-HQ-5623,TRUE,LPT-HQ-5623.sra.org.sz,"CN=LPT-HQ-5623,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 08:13,TRUE,32,2022/12/06 09:05
LPT-HQ-5625,TRUE,LPT-HQ-5625.sra.org.sz,"CN=LPT-HQ-5625,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:41,FALSE,,
LPT-HQ-5629,TRUE,LPT-HQ-5629.sra.org.sz,"CN=LPT-HQ-5629,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 07:57,FALSE,,
LPT-HQ-5628,TRUE,LPT-HQ-5628.sra.org.sz,"CN=LPT-HQ-5628,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:00,TRUE,4,2022/11/08 21:33
LPT-HQ-5627,TRUE,LPT-HQ-5627.sra.org.sz,"CN=LPT-HQ-5627,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 08:07,TRUE,5,2022/11/09 08:22
LPT-HQ-5657,TRUE,LPT-HQ-5657.sra.org.sz,"CN=LPT-HQ-5657,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:37,FALSE,,
LPT-HQ-5677,TRUE,LPT-HQ-5677.sra.org.sz,"CN=LPT-HQ-5677,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:07,TRUE,2,2022/11/06 13:23
WKS-HQ-5699,TRUE,WKS-HQ-5699.sra.org.sz,"CN=WKS-HQ-5699,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/01 19:46,TRUE,7,2022/11/11 09:19
LPT-HQ-5650,TRUE,LPT-HQ-5650.sra.org.sz,"CN=LPT-HQ-5650,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:10,TRUE,28,2022/12/02 09:55
LPT-HQ-5781,TRUE,LPT-HQ-5781.sra.org.sz,"CN=LPT-HQ-5781,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 07:47,TRUE,14,2022/11/18 08:56
LPT-HQ-5761,TRUE,LPT-HQ-5761.sra.org.sz,"CN=LPT-HQ-5761,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:14,FALSE,,
LPT-HQ-5819,TRUE,LPT-HQ-5819.sra.org.sz,"CN=LPT-HQ-5819,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 08:47,TRUE,7,2022/11/11 09:45
LPT-HQ-5824,TRUE,LPT-HQ-5824.sra.org.sz,"CN=LPT-HQ-5824,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:23,TRUE,4,2022/11/08 08:15
LPT-HQ-5769,TRUE,LPT-HQ-5769.sra.org.sz,"CN=LPT-HQ-5769,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/30 21:24,TRUE,14,2022/11/18 09:15
LPT-HQ-5778,TRUE,LPT-HQ-5778.sra.org.sz,"CN=LPT-HQ-5778,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 07:42,TRUE,23,2022/11/27 08:13
LPT-HQ-5791,TRUE,LPT-HQ-5791.sra.org.sz,"CN=LPT-HQ-5791,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Unknown,2022/10/31 07:53,TRUE,21,2022/11/25 08:47
LPT-HQ-5811,TRUE,LPT-HQ-5811.sra.org.sz,"CN=LPT-HQ-5811,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 10:30,FALSE,,
SRASRV-ETAXAPP,TRUE,SRASRV-ETAXAPP.sra.org.sz,"CN=SRASRV-ETAXAPP,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2019 Standard,2022/11/03 23:23,FALSE,,
SRASRV-PRNT02,TRUE,SRASRV-PRNT02.sra.org.sz,"CN=SRASRV-PRNT02,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2019 Standard,2022/11/04 06:36,FALSE,,
LPT-HQ-5772,TRUE,LPT-HQ-5772.sra.org.sz,"CN=LPT-HQ-5772,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:40,TRUE,12,2022/11/16 10:04
LPT-HQ-5774,TRUE,LPT-HQ-5774.sra.org.sz,"CN=LPT-HQ-5774,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/27 08:02,TRUE,5,2022/11/09 08:43
LPT-HQ-5783,TRUE,LPT-HQ-5783.sra.org.sz,"CN=LPT-HQ-5783,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 11,2022/10/25 07:56,TRUE,25,2022/11/30 08:08
LPT-HQ-5790,TRUE,LPT-HQ-5790.sra.org.sz,"CN=LPT-HQ-5790,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:04,TRUE,8,2022/11/12 11:59
LPT-HQ-5823,TRUE,LPT-HQ-5823.sra.org.sz,"CN=LPT-HQ-5823,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/02 18:34,TRUE,4,2022/11/08 10:21
LPT-HQ-5808,TRUE,LPT-HQ-5808.sra.org.sz,"CN=LPT-HQ-5808,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/27 10:02,TRUE,10,2022/11/14 11:57
LPT-HQ-5760,TRUE,LPT-HQ-5760.sra.org.sz,"CN=LPT-HQ-5760,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 11,2022/10/31 13:11,TRUE,2,2022/11/06 11:29
LPT-HQ-5762,TRUE,LPT-HQ-5762.sra.org.sz,"CN=LPT-HQ-5762,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Unknown,2022/11/03 16:57,TRUE,5,2022/11/09 09:31
LPT-HQ-5809,TRUE,LPT-HQ-5809.sra.org.sz,"CN=LPT-HQ-5809,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 08:10,TRUE,20,2022/11/24 08:23
LPT-HQ-5792,TRUE,LPT-HQ-5792.sra.org.sz,"CN=LPT-HQ-5792,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 10:17,TRUE,12,2022/11/16 09:55
LPT-HQ-5793,TRUE,LPT-HQ-5793.sra.org.sz,"CN=LPT-HQ-5793,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/27 13:00,TRUE,9,2022/11/13 11:20
LPT-HQ-5789,TRUE,LPT-HQ-5789.sra.org.sz,"CN=LPT-HQ-5789,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/27 09:47,TRUE,5,2022/11/09 08:27
LPT-HQ-5768,TRUE,LPT-HQ-5768.sra.org.sz,"CN=LPT-HQ-5768,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/26 16:12,TRUE,2,2022/11/06 15:21
LPT-HQ-5777,TRUE,LPT-HQ-5777.sra.org.sz,"CN=LPT-HQ-5777,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 07:55,TRUE,2,2022/11/06 12:02
LPT-HQ-5786,TRUE,LPT-HQ-5786.sra.org.sz,"CN=LPT-HQ-5786,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/30 16:42,TRUE,7,2022/11/11 13:14
LPT-HQ-5766,TRUE,LPT-HQ-5766.sra.org.sz,"CN=LPT-HQ-5766,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/26 07:17,TRUE,20,2022/11/25 07:21
LPT-HQ-5765,TRUE,LPT-HQ-5765.sra.org.sz,"CN=LPT-HQ-5765,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 08:46,TRUE,26,2022/11/30 08:37
LPT-HQ-5829,TRUE,LPT-HQ-5829.sra.org.sz,"CN=LPT-HQ-5829,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/27 10:41,TRUE,3,2022/11/07 10:59
LPT-HQ-5780,TRUE,LPT-HQ-5780.sra.org.sz,"CN=LPT-HQ-5780,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 08:00,TRUE,-78,2022/08/17 14:23
LPT-HQ-5773,TRUE,LPT-HQ-5773.sra.org.sz,"CN=LPT-HQ-5773,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 09:38,TRUE,5,2022/11/09 08:43
LPT-HQ-5764,TRUE,LPT-HQ-5764.sra.org.sz,"CN=LPT-HQ-5764,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:21,TRUE,12,2022/11/16 09:30
LPT-HQ-5802,TRUE,LPT-HQ-5802.sra.org.sz,"CN=LPT-HQ-5802,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/25 08:07,FALSE,,
LPT-HQ-5812,TRUE,LPT-HQ-5812.sra.org.sz,"CN=LPT-HQ-5812,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 1903,2022/10/28 08:09,TRUE,12,2022/11/16 08:33
LPT-HQ-5803,TRUE,LPT-HQ-5803.sra.org.sz,"CN=LPT-HQ-5803,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/30 21:22,FALSE,,
LPT-HQ-5797,TRUE,LPT-HQ-5797.sra.org.sz,"CN=LPT-HQ-5797,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/24 09:20,TRUE,7,2022/11/11 08:29
LPT-HQ-5815,TRUE,LPT-HQ-5815.sra.org.sz,"CN=LPT-HQ-5815,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 1909,2022/10/31 09:32,TRUE,5,2022/11/09 09:23
LPT-HQ-5794,TRUE,LPT-HQ-5794.sra.org.sz,"CN=LPT-HQ-5794,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 14:46,TRUE,12,2022/11/16 08:56
LPT-HQ-5798,TRUE,LPT-HQ-5798.sra.org.sz,"CN=LPT-HQ-5798,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 11,2022/10/31 10:43,TRUE,12,2022/11/16 08:19
LPT-HQ-5796,TRUE,LPT-HQ-5796.sra.org.sz,"CN=LPT-HQ-5796,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/18 12:26,TRUE,13,2022/11/17 12:27
LPT-HQ-5779,TRUE,LPT-HQ-5779.sra.org.sz,"CN=LPT-HQ-5779,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 17:51,TRUE,15,2022/11/19 08:45
LPT-HQ-5770,TRUE,LPT-HQ-5770.sra.org.sz,"CN=LPT-HQ-5770,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 08:24,TRUE,-88,2022/08/07 10:32
LPT-HQ-5805,TRUE,LPT-HQ-5805.sra.org.sz,"CN=LPT-HQ-5805,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:04,TRUE,-87,2022/08/08 11:10
LPT-HQ-5810,TRUE,LPT-HQ-5810.sra.org.sz,"CN=LPT-HQ-5810,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:54,TRUE,9,2022/11/13 17:13
LPT-HQ-5801,TRUE,LPT-HQ-5801.sra.org.sz,"CN=LPT-HQ-5801,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:01,FALSE,,
LPT-HQ-5813,TRUE,LPT-HQ-5813.sra.org.sz,"CN=LPT-HQ-5813,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/26 10:41,TRUE,2,2022/11/06 09:27
LPT-HQ-5767,TRUE,LPT-HQ-5767.sra.org.sz,"CN=LPT-HQ-5767,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 09:31,FALSE,,
LPT-HQ-5763,TRUE,LPT-HQ-5763.sra.org.sz,"CN=LPT-HQ-5763,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 07:45,TRUE,12,2022/11/16 08:49
LPT-HQ-5788,TRUE,LPT-HQ-5788.sra.org.sz,"CN=LPT-HQ-5788,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:14,TRUE,11,2022/11/16 07:48
LPT-HQ-5785,TRUE,LPT-HQ-5785.sra.org.sz,"CN=LPT-HQ-5785,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 10:00,TRUE,2,2022/11/06 12:10
LPT-HQ-5826,TRUE,LPT-HQ-5826.sra.org.sz,"CN=LPT-HQ-5826,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/25 08:09,FALSE,,
LPT-HQ-5828,TRUE,LPT-HQ-5828.sra.org.sz,"CN=LPT-HQ-5828,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 08:05,TRUE,7,2022/11/11 09:31
LPT-HQ-5804,TRUE,LPT-HQ-5804.sra.org.sz,"CN=LPT-HQ-5804,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/01 07:42,TRUE,5,2022/11/09 11:04
LPT-HQ-5776,TRUE,LPT-HQ-5776.sra.org.sz,"CN=LPT-HQ-5776,OU=ICT,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 11,2022/10/31 08:07,TRUE,28,2022/12/02 09:58
LPT-HQ-5807,TRUE,LPT-HQ-5807.sra.org.sz,"CN=LPT-HQ-5807,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 07:52,TRUE,7,2022/11/11 09:19
LPT-HQ-5795,TRUE,LPT-HQ-5795.sra.org.sz,"CN=LPT-HQ-5795,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:01,FALSE,,
LPT-HQ-5782,TRUE,LPT-HQ-5782.sra.org.sz,"CN=LPT-HQ-5782,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Unknown,2022/10/31 00:28,TRUE,10,2022/11/14 14:40
LPT-HQ-5827,TRUE,LPT-HQ-5827.sra.org.sz,"CN=LPT-HQ-5827,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 07:58,TRUE,4,2022/11/09 07:17
LPT-HQ-5775,TRUE,LPT-HQ-5775.sra.org.sz,"CN=LPT-HQ-5775,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/11/03 19:35,TRUE,7,2022/11/11 16:22
LPT-HQ-5814,TRUE,LPT-HQ-5814.sra.org.sz,"CN=LPT-HQ-5814,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 08:24,TRUE,14,2022/11/18 10:05
LPT-HQ-5820,TRUE,LPT-HQ-5820.sra.org.sz,"CN=LPT-HQ-5820,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 09:41,FALSE,,
LPT-HQ-5825,TRUE,LPT-HQ-5825.sra.org.sz,"CN=LPT-HQ-5825,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 08:18,TRUE,2,2022/11/06 10:03
LPT-HQ-5816,TRUE,LPT-HQ-5816.sra.org.sz,"CN=LPT-HQ-5816,OU=Laptops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 20H2,2022/10/31 08:21,FALSE,,
WKS-HQ-6021,TRUE,WKS-HQ-6021.sra.org.sz,"CN=WKS-HQ-6021,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 08:55,TRUE,2,2022/11/06 10:30
WKS-HQ-5989,TRUE,WKS-HQ-5989.sra.org.sz,"CN=WKS-HQ-5989,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 08:11,TRUE,22,2022/11/26 17:12
WKS-HQ-5990,TRUE,WKS-HQ-5990.sra.org.sz,"CN=WKS-HQ-5990,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/21 15:45,FALSE,,
WKS-HQ-5991,TRUE,WKS-HQ-5991.sra.org.sz,"CN=WKS-HQ-5991,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/03 08:08,TRUE,14,2022/11/18 12:18
WKS-HQ-5992,TRUE,WKS-HQ-5992.sra.org.sz,"CN=WKS-HQ-5992,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 08:40,TRUE,5,2022/11/09 08:13
WKS-KM3-5863,TRUE,WKS-KM3-5863.sra.org.sz,"CN=WKS-KM3-5863,OU=Computers,OU=KM3,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/01 07:10,TRUE,13,2022/11/17 12:07
WKS-HQ-5994,TRUE,WKS-HQ-5994.sra.org.sz,"CN=WKS-HQ-5994,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Unknown,2022/11/01 16:24,TRUE,2,2022/11/06 13:32
WKS-STK-5860,TRUE,WKS-STK-5860.sra.org.sz,"CN=WKS-STK-5860,OU=Computers,OU=Siteki_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/28 08:08,TRUE,13,2022/11/17 12:44
WKS-HQ-5993,TRUE,WKS-HQ-5993.sra.org.sz,"CN=WKS-HQ-5993,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/20 08:06,TRUE,2,2022/11/06 10:34
WKS-KM3-5867,TRUE,WKS-KM3-5867.sra.org.sz,"CN=WKS-KM3-5867,OU=Computers,OU=KM3,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/27 10:45,TRUE,13,2022/11/17 13:16
WKS-KM3-5865,TRUE,WKS-KM3-5865.sra.org.sz,"CN=WKS-KM3-5865,OU=Computers,OU=KM3,DC=sra,DC=org,DC=sz",Windows 10 1909,2022/11/01 13:20,FALSE,,
WKS-KM3-5864,TRUE,WKS-KM3-5864.sra.org.sz,"CN=WKS-KM3-5864,OU=Computers,OU=KM3,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/31 06:59,TRUE,14,2022/11/18 09:11
WKS-HQ-5996,TRUE,WKS-HQ-5996.sra.org.sz,"CN=WKS-HQ-5996,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/21 16:52,TRUE,7,2022/11/11 09:02
WKS-HQ-5995,TRUE,WKS-HQ-5995.sra.org.sz,"CN=WKS-HQ-5995,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/24 08:02,TRUE,7,2022/11/11 09:04
WKS-STK-5861,TRUE,WKS-STK-5861.sra.org.sz,"CN=WKS-STK-5861,OU=Computers,OU=Siteki_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/27 08:57,TRUE,14,2022/11/18 13:53
WKS-STK-5862,TRUE,WKS-STK-5862.sra.org.sz,"CN=WKS-STK-5862,OU=Computers,OU=Siteki_Service_Center,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/27 10:17,TRUE,14,2022/11/18 09:14
WKS-MNG-5952,TRUE,WKS-MNG-5952.sra.org.sz,"CN=WKS-MNG-5952,OU=Computers,OU=Mananga_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/10/27 11:21,TRUE,13,2022/11/17 13:57
WKS-MNG-5953,TRUE,WKS-MNG-5953.sra.org.sz,"CN=WKS-MNG-5953,OU=Computers,OU=Mananga_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/03 10:44,TRUE,15,2022/11/19 09:43
WKS-MNG-5954,TRUE,WKS-MNG-5954.sra.org.sz,"CN=WKS-MNG-5954,OU=Computers,OU=Mananga_border,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/28 23:22,TRUE,13,2022/11/18 06:28
SRAWKS-HQ-6000,TRUE,SRAWKS-HQ-6000.sra.org.sz,"CN=SRAWKS-HQ-6000,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 10:53,TRUE,15,2022/11/19 09:42
WKS-MNG-5955,TRUE,WKS-MNG-5955.sra.org.sz,"CN=WKS-MNG-5955,OU=Computers,OU=Mananga_border,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/28 08:06,TRUE,13,2022/11/17 13:46
WKS-HQ-5999,TRUE,WKS-HQ-5999.sra.org.sz,"CN=WKS-HQ-5999,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/27 08:36,TRUE,4,2022/11/09 08:02
WKS-HQ-6001,TRUE,WKS-HQ-6001.sra.org.sz,"CN=WKS-HQ-6001,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 1909,2022/10/26 08:23,FALSE,,
WKS-HQ-5977,TRUE,WKS-HQ-5977.sra.org.sz,"CN=WKS-HQ-5977,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/03 07:58,TRUE,2,2022/11/06 11:25
WKS-HQ-5997,TRUE,WKS-HQ-5997.sra.org.sz,"CN=WKS-HQ-5997,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 11,2022/10/31 08:01,TRUE,2,2022/11/06 10:58
WKS-MNG-5956,TRUE,WKS-MNG-5956.sra.org.sz,"CN=WKS-MNG-5956,OU=Computers,OU=Mananga_border,DC=sra,DC=org,DC=sz",Windows 10 21H1,2022/11/03 14:11,TRUE,13,2022/11/17 12:07
SRAWKS-MNG-5958,TRUE,SRAWKS-MNG-5958.sra.org.sz,"CN=SRAWKS-MNG-5958,OU=Computers,OU=Mananga_border,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/11/01 04:42,TRUE,16,2022/11/20 15:51
